,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
9475,3066,5215,DISCOUNT,Info,4,Sales,8,In general,1000,"(238.8, 291.0]",572,4,URI_42,Wednesday,13.0,360.0,5.0,Fulltext
9694,3075,5294,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",88,7,URI_110,Wednesday,15.0,240.0,7.0,
9711,3138,5303,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",125,3,URI_0,Wednesday,16.0,120.0,4.0,
9742,3066,5314,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_111,Wednesday,16.0,300.0,3.0,
9783,3075,5338,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Wednesday,17.0,60.0,2.0,
9834,4049,5367,HOWTOJOIN,Trip,3,undetected,-1,Tourism,1,"(291.0, 343.2]",300,1,URI_42,Wednesday,19.0,420.0,5.0,Fulltext
9998,3066,5438,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",30,1,URI_111,Thursday,6.0,60.0,3.0,
10017,3066,5448,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Thursday,7.0,60.0,4.0,
10167,3066,5502,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Thursday,10.0,1020.0,6.0,
10192,3066,5510,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",251,3,URI_0,Thursday,10.0,540.0,7.0,
10193,3066,5510,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",88,7,URI_0,Thursday,10.0,540.0,7.0,
10331,3066,5568,DISCOUNT,Info,4,Sales,8,In general,1000,"(447.6, 499.8]",480,1,URI_111,Thursday,12.0,480.0,2.0,
10455,3075,5635,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_0,Thursday,14.0,120.0,4.0,
10620,3075,5712,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_80,Thursday,17.0,60.0,6.0,Fulltext
10664,3066,5746,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_0,Thursday,19.0,60.0,3.0,
10759,3075,5803,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",313,5,URI_0,Friday,7.0,1380.0,6.0,
10862,3066,5837,DISCOUNT,Info,4,Sales,8,In general,1000,"(552.0, 604.2]",1259,3,URI_39,Friday,9.0,1140.0,9.0,Fulltext
11122,4165,5964,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",60,1,URI_38,Friday,13.0,60.0,3.0,Fulltext
11125,3075,5965,WHOWEARE,Info,4,Who we are,10,In general,1000,"(343.2, 395.4]",609,2,URI_45,Friday,13.0,420.0,3.0,Fulltext
11218,3066,6005,DISCOUNT,Info,4,Sales,8,In general,1000,"(134.4, 186.6]",304,2,URI_0,Friday,15.0,180.0,4.0,
11314,3075,6035,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",335,6,URI_0,Friday,17.0,1440.0,11.0,
11315,3075,6035,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",92,8,URI_0,Friday,17.0,1440.0,11.0,
11316,3066,6035,DISCOUNT,Info,4,Sales,8,In general,1000,"(760.8, 813.0]",2035,5,URI_0,Friday,17.0,1440.0,11.0,
11317,3066,6035,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",191,9,URI_0,Friday,17.0,1440.0,11.0,
11380,3075,6079,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",78,5,URI_111,Friday,19.0,420.0,5.0,
11618,3066,6193,DISCOUNT,Info,4,Sales,8,In general,1000,"(238.8, 291.0]",572,4,URI_51,Saturday,17.0,1440.0,12.0,Other
11831,4158,6300,HOWTOJOIN,Trip,3,undetected,-1,Tourism,1,"(27.39, 82.2]",50,2,URI_45,Sunday,10.0,120.0,2.0,Fulltext
11866,3075,6324,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",156,5,URI_42,Sunday,11.0,240.0,6.0,Fulltext
12012,3075,6381,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_62,Sunday,15.0,120.0,4.0,Other
12022,3066,6386,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",143,4,URI_0,Sunday,16.0,240.0,7.0,
12023,3066,6386,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",88,7,URI_0,Sunday,16.0,240.0,7.0,
12097,3066,6413,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",125,3,URI_0,Sunday,17.0,120.0,7.0,
12162,3075,6434,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",83,6,URI_0,Sunday,18.0,240.0,6.0,
12489,3075,6567,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,8.0,120.0,3.0,
12608,4246,6612,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_42,Monday,10.0,540.0,5.0,Fulltext
12701,3075,6654,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_80,Monday,11.0,540.0,7.0,Fulltext
12702,3075,6654,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",83,6,URI_80,Monday,11.0,540.0,7.0,Fulltext
12754,3066,6676,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",78,5,URI_0,Monday,11.0,300.0,5.0,
13028,3066,6781,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,14.0,720.0,3.0,
13038,3075,6787,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_0,Monday,14.0,480.0,4.0,
13109,3066,6824,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_0,Monday,14.0,600.0,4.0,
13159,3075,6851,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",156,5,URI_0,Monday,15.0,660.0,6.0,
13191,3066,6857,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",452,16,URI_111,Monday,16.0,1380.0,22.0,
13228,3066,6881,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_42,Monday,16.0,60.0,3.0,Fulltext
13322,3066,6925,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",120,1,URI_111,Monday,19.0,180.0,3.0,
13360,3075,6941,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",60,1,URI_111,Monday,20.0,60.0,2.0,
13469,4300,7000,HOWTOJOIN,Trip,3,undetected,-1,Tours with lightweight tourism,19,"(27.39, 82.2]",30,1,URI_45,Tuesday,6.0,120.0,3.0,Fulltext
13483,3066,7005,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Tuesday,7.0,240.0,10.0,
13530,3075,7025,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_64,Tuesday,8.0,60.0,4.0,Partners
13553,3075,7033,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_42,Tuesday,8.0,900.0,11.0,Fulltext
13554,3075,7033,WHOWEARE,Info,4,Who we are,10,In general,1000,"(343.2, 395.4]",939,5,URI_42,Tuesday,8.0,900.0,11.0,Fulltext
13756,3075,7132,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_87,Tuesday,12.0,60.0,4.0,Fulltext
13769,3066,7136,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",30,1,URI_111,Tuesday,12.0,60.0,6.0,
13881,3066,7191,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_0,Tuesday,13.0,60.0,2.0,
13961,3066,7245,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",286,4,URI_39,Tuesday,15.0,900.0,7.0,Fulltext
13988,3075,7252,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_100,Tuesday,15.0,180.0,3.0,OwnWebs
14050,3075,7284,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",184,8,URI_42,Tuesday,16.0,360.0,10.0,Fulltext
14111,3075,7313,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",88,7,URI_0,Tuesday,17.0,300.0,8.0,
14114,3138,7313,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",92,8,URI_0,Tuesday,17.0,300.0,8.0,
14201,3066,7353,DISCOUNT,Info,4,Sales,8,In general,1000,"(134.4, 186.6]",180,1,URI_111,Tuesday,19.0,960.0,8.0,
14251,3066,7377,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_0,Tuesday,20.0,180.0,5.0,
14471,3075,7483,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_0,Wednesday,9.0,240.0,6.0,
14501,3075,7499,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",30,1,URI_0,Wednesday,10.0,180.0,4.0,
14545,3075,7521,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_0,Wednesday,11.0,120.0,4.0,
14670,3075,7564,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_0,Wednesday,12.0,360.0,3.0,
14685,3066,7567,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",30,1,URI_39,Wednesday,13.0,1020.0,13.0,Fulltext
14695,3066,7574,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",251,3,URI_39,Wednesday,13.0,180.0,4.0,Fulltext
14825,3075,7633,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_64,Wednesday,15.0,420.0,16.0,Partners
14965,3075,7677,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",60,1,URI_34,Wednesday,16.0,60.0,2.0,
15009,3075,7694,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_80,Wednesday,17.0,1320.0,7.0,Fulltext
15022,3075,7700,WHOWEARE,Info,4,Who we are,10,In general,1000,"(395.4, 447.6]",711,2,URI_42,Wednesday,17.0,480.0,3.0,Fulltext
15036,3075,7707,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Wednesday,17.0,60.0,3.0,
15087,3066,7734,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_111,Wednesday,19.0,60.0,3.0,
15337,3075,7846,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_42,Thursday,10.0,60.0,3.0,Fulltext
15550,3075,7941,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",286,4,URI_0,Thursday,15.0,300.0,5.0,
15555,3066,7942,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",286,4,URI_70,Thursday,15.0,720.0,5.0,Other
15717,3066,8010,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",83,6,URI_0,Thursday,22.0,600.0,7.0,
15746,3066,8023,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",78,5,URI_45,Friday,0.0,300.0,5.0,Fulltext
15786,3075,8049,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",60,1,URI_111,Friday,12.0,180.0,4.0,
16156,3075,8227,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Saturday,16.0,60.0,3.0,
16157,3066,8227,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_0,Saturday,16.0,60.0,3.0,
16335,3138,8286,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",125,3,URI_80,Saturday,20.0,420.0,6.0,Fulltext
16504,3066,8365,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",203,2,URI_0,Sunday,10.0,120.0,3.0,
16562,3075,8391,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_0,Sunday,12.0,120.0,5.0,
16563,3138,8391,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",101,2,URI_0,Sunday,12.0,120.0,5.0,
16625,3075,8413,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",92,8,URI_0,Sunday,14.0,1080.0,15.0,
16628,3138,8413,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",88,7,URI_0,Sunday,14.0,1080.0,15.0,
16831,3066,8512,DISCOUNT,Info,4,Sales,8,In general,1000,"(134.4, 186.6]",530,7,URI_0,Sunday,19.0,1560.0,8.0,
16885,3075,8536,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_0,Sunday,20.0,1140.0,5.0,
